date,coin_name,market_cap
2016-02-19 00:00:00.000,Tether,1451600.0
2016-02-20 00:00:00.000,Tether,1451600.0
2016-02-21 00:00:00.000,Tether,1451600.0
2016-02-22 00:00:00.000,Tether,1451599.9999999995
2016-02-23 00:00:00.000,Tether,1451599.9999999998
2016-02-24 00:00:00.000,Tether,1451377.9052000004
2016-02-25 00:00:00.000,Tether,1451599.9999999998
2016-02-26 00:00:00.000,Tether,1451600.0
2016-02-27 00:00:00.000,Tether,1451600.0
2016-02-28 00:00:00.000,Tether,1451599.9999999998
2016-02-29 00:00:00.000,Tether,1451600.0
2016-03-01 00:00:00.000,Tether,1451581.1292
2016-03-02 00:00:00.000,Tether,1451552.0972
2016-03-03 00:00:00.000,Tether,1451598.5484000002
2016-03-04 00:00:00.000,Tether,1451599.9999999998
2016-03-05 00:00:00.000,Tether,1451600.0
2016-03-06 00:00:00.000,Tether,1451597.0968000002
2016-03-07 00:00:00.000,Tether,1451597.0968000002
2016-03-08 00:00:00.000,Tether,1451598.5484
2016-03-09 00:00:00.000,Tether,1451447.582
2016-03-10 00:00:00.000,Tether,1451591.2903999998
2016-03-11 00:00:00.000,Tether,1451592.742
2016-03-12 00:00:00.000,Tether,1451435.9692
2016-03-13 00:00:00.000,Tether,1451488.2268000003
2016-03-14 00:00:00.000,Tether,1451591.2904000005
2016-03-15 00:00:00.000,Tether,1451600.0
2016-03-16 00:00:00.000,Tether,1451600.0
2016-03-17 00:00:00.000,Tether,1451573.8712
2016-03-18 00:00:00.000,Tether,1451593.0968080005
2016-03-19 00:00:00.000,Tether,1451593.0968080002
2016-03-20 00:00:00.000,Tether,1451588.0968180003
2016-03-21 00:00:00.000,Tether,1451588.096818
2016-03-22 00:00:00.000,Tether,1451589.5484090005
2016-03-23 00:00:00.000,Tether,1451589.5484089996
2016-03-24 00:00:00.000,Tether,1451550.3554520002
2016-03-25 00:00:00.000,Tether,1451591.0
2016-03-26 00:00:00.000,Tether,1451590.9999999998
2016-03-27 00:00:00.000,Tether,1451591.0
2016-03-28 00:00:00.000,Tether,1451591.0
2016-03-29 00:00:00.000,Tether,1451590.9999999998
2016-03-30 00:00:00.000,Tether,1451591.0
2016-03-31 00:00:00.000,Tether,1451591.0
2016-04-01 00:00:00.000,Tether,1451591.0
2016-04-02 00:00:00.000,Tether,1451590.9999999998
2016-04-03 00:00:00.000,Tether,1451590.9999999998
2016-04-04 00:00:00.000,Tether,1451590.9999999998
2016-04-05 00:00:00.000,Tether,1451591.0
2016-04-06 00:00:00.000,Tether,1451590.9999999998
2016-04-07 00:00:00.000,Tether,1451590.9999999995
2016-04-08 00:00:00.000,Tether,1451591.0
2016-04-09 00:00:00.000,Tether,1451591.0
2016-04-10 00:00:00.000,Tether,1451591.0
2016-04-11 00:00:00.000,Tether,1451591.0
2016-04-12 00:00:00.000,Tether,1451591.0
2016-04-13 00:00:00.000,Tether,1451591.0
2016-04-14 00:00:00.000,Tether,1451591.0
2016-04-15 00:00:00.000,Tether,1451590.9999999998
2016-04-16 00:00:00.000,Tether,1451591.0
2016-04-17 00:00:00.000,Tether,1451591.0
2016-04-18 00:00:00.000,Tether,1451591.0
2016-04-19 00:00:00.000,Tether,1451591.0
2016-04-20 00:00:00.000,Tether,1451591.0
2016-04-21 00:00:00.000,Tether,1451590.9999999998
2016-04-22 00:00:00.000,Tether,1451591.0
2016-04-23 00:00:00.000,Tether,1451591.0
2016-04-24 00:00:00.000,Tether,1451590.9999999998
2016-04-25 00:00:00.000,Tether,1451591.0
2016-04-26 00:00:00.000,Tether,1451591.0
2016-04-27 00:00:00.000,Tether,1451591.0
2016-04-28 00:00:00.000,Tether,1451590.9999999998
2016-04-29 00:00:00.000,Tether,1951591.0
2016-04-30 00:00:00.000,Tether,1951590.9999999995
2016-05-01 00:00:00.000,Tether,1951591.0
2016-05-02 00:00:00.000,Tether,1951591.0
2016-05-03 00:00:00.000,Tether,1951590.9999999998
2016-05-04 00:00:00.000,Tether,1951590.9999999998
2016-05-05 00:00:00.000,Tether,1951591.0
2016-05-06 00:00:00.000,Tether,1951590.9999999995
2016-05-07 00:00:00.000,Tether,1951591.0
2016-05-08 00:00:00.000,Tether,1951591.0
2016-05-09 00:00:00.000,Tether,1951591.0
2016-05-10 00:00:00.000,Tether,1951591.0
2016-05-11 00:00:00.000,Tether,1951591.0
2016-05-12 00:00:00.000,Tether,1951591.0
2016-05-13 00:00:00.000,Tether,1951590.9999999995
2016-05-14 00:00:00.000,Tether,1951590.9999999998
2016-05-15 00:00:00.000,Tether,1951591.0
2016-05-16 00:00:00.000,Tether,1951591.0
2016-05-17 00:00:00.000,Tether,1951591.0
2016-05-18 00:00:00.000,Tether,1951590.9999999995
2016-05-19 00:00:00.000,Tether,1951591.0
2016-05-20 00:00:00.000,Tether,1951591.0
2016-05-21 00:00:00.000,Tether,1951591.0
2016-05-22 00:00:00.000,Tether,1951591.0
2016-05-23 00:00:00.000,Tether,1951591.0
2016-05-24 00:00:00.000,Tether,1951590.9999999998
2016-05-25 00:00:00.000,Tether,1951591.0
2016-05-26 00:00:00.000,Tether,1951591.0
2016-05-27 00:00:00.000,Tether,1951591.0
2016-05-28 00:00:00.000,Tether,1951591.0
2016-05-29 00:00:00.000,Tether,1951591.0
2016-05-30 00:00:00.000,Tether,1951590.9999999998
2016-05-31 00:00:00.000,Tether,1951591.0
2016-06-01 00:00:00.000,Tether,2951591.0
2016-06-02 00:00:00.000,Tether,2951591.0
2016-06-03 00:00:00.000,Tether,2951591.0
2016-06-04 00:00:00.000,Tether,2951591.0
2016-06-05 00:00:00.000,Tether,2951591.0
2016-06-06 00:00:00.000,Tether,2951591.0
2016-06-07 00:00:00.000,Tether,2951591.0
2016-06-08 00:00:00.000,Tether,2951591.0
2016-06-09 00:00:00.000,Tether,2951591.0
2016-06-10 00:00:00.000,Tether,2951591.0
2016-06-11 00:00:00.000,Tether,2951591.0
2016-06-12 00:00:00.000,Tether,2951591.0
2016-06-13 00:00:00.000,Tether,2951591.0
